number,value,model.activation,model.siren,model.siren_omega0,model.use_fourier,model.ff_k,model.depth,model.width,opt.lr,opt.lam_bc,opt.lam_warm,opt.grad_clip_norm,opt.weight_decay_is_zero,opt.weight_decay_pos,opt.lr_warmup_frac,opt.lr_min_ratio,opt.use_ema,opt.ema_decay,opt.use_lookahead,opt.use_al,opt.al_rho,opt.al_update_every,opt.al_clip,sampling.bdry_presample_mult,regularization.zero_mean_weight,multi_valued.kappa,sampling.rng_seed,opt.lookahead_sync_period,opt.lookahead_slow_step
537,0.003486629996146789,softplus,True,8.782181182945388,False,,4,32,0.0010039510622671572,1.3168959567880945,10.407537601147697,0.5380520579347355,True,,0.05,0.11577100147217356,False,,False,True,0.14934149879997977,13.0,7.55170035835362,32,0.9828149006603398,0.06195648231362223,176,,
538,0.024704402189301027,softplus,True,8.818121827618965,False,,3,32,0.0016669831173660378,1.8674578854490116,15.205119670251648,0.5241133974047424,True,,0.05,0.05685579720567058,True,0.9960908872970969,False,True,0.1267648340478546,18.0,6.9069507387328235,32,0.7497764153789871,0.41543386717099384,2320,,
539,0.004172019847699204,softplus,True,6.3046140308110905,False,,4,32,0.001056312868572366,1.586378166618342,10.019794646195319,0.6097417713058108,True,,0.05,0.1353239618510699,False,,True,True,0.10630439248438955,19.0,7.768438050641709,24,0.8128823847086297,0.1453553297751094,2135,4.0,0.5460243725162555
540,0.007643209707971808,softplus,True,6.380806860302739,False,,5,32,0.0028005667653134246,1.0361200807633646,5.742063518390049,1.1542241610138677,True,,0.05,0.04653252013104356,False,,False,True,0.20441135484739412,16.0,7.319106644085075,32,0.6768859162794649,0.017248786095822227,4164,,
541,0.213607267037171,softplus,True,5.881068145793483,False,,4,96,0.0028310358380597774,10.841619591079816,13.94116548052555,1.277225852449376,True,,0.05,0.0355328948977581,False,,False,True,0.26934093928982994,18.0,9.063769204042138,24,0.6310239280285579,0.9576644964242027,6324,,
542,0.014658962423935976,softplus,True,7.300820074204702,True,2.0,5,32,0.0021907825341984854,1.0715857930715824,8.095199045496724,3.0296163095342097,True,,0.05,0.10558268275375608,False,,False,True,0.1184692366081868,13.0,9.578402538456123,32,0.8893812803290309,0.22926140388356697,3907,,
543,0.027240662901133667,softplus,False,,False,,3,128,0.002399195270856598,9.981890867513373,10.516304890728401,1.772491110916493,True,,0.05,0.052584352349510144,False,,True,False,,,,32,0.3438454576023372,0.47260474982073586,5621,3.0,0.4476135201127835
544,0.1711751286851522,softplus,True,9.140028512819722,True,5.0,3,48,0.0009099407411761149,18.23618561899233,27.365901595186624,1.2475641555528398,True,,0.2,0.14281534686778694,False,,False,False,,,,32,0.2840565078549699,0.8710098135421618,6282,,
545,0.12960668948982637,softplus,True,9.31964005212252,False,,3,128,0.00093700150246401,4.042148302449715,35.83308848240664,0.743374346858259,False,9.861180487853217e-05,0.2,0.15329330913426847,True,0.9970530274837998,False,False,,,,32,0.2749240943193848,0.005092675583934052,3017,,
546,0.14018185020690355,sin,True,7.9265644110711815,False,,3,128,0.0010794089276547174,4.851729517809092,23.48947198055061,1.7139557753801236,True,,0.2,0.1558824601356486,True,0.9954408638756062,False,False,,,,32,0.2204886440058697,0.03299608287852965,5926,,
